title,developer,publisher,tags,overview
World of Warships,Wargaming Group Limited ,Wargaming Group Limited ,"['Free to Play', 'Naval', 'World War II', 'Multiplayer', 'PvP', 'Action', 'Online Co-Op', 'Massively Multiplayer', 'Strategy', 'Team-Based', 'Shooter', 'Tactical', 'Simulation', 'War', 'Realistic', 'Military', 'Anime', 'Singleplayer', 'Co-op', 'World War I']","Over 200 historic naval vessels are yours to command in World of Warships, the ultimate free-to-play MMO action experience. Fight for naval supremacy in a variety of ships — fire a battleship’s big guns, sneak in with a destroyer, charge with a cruiser, or darken the skies with carrier squadrons. Strategize, then strike!World of Warships lets you experience epic naval combat like never before. Assemble and customize a fleet of gorgeously detailed ships and bring them into a variety of realistic battle scenarios across beautifully rendered real world locales. Jump into a random skirmish for a quick PvP clash, team up with friends for a challenging PvE scenario battle, or put your skills to the test in ranked battles! If you're looking for a real war, get your Clan action on! Develop your Clan, earn extras, climb to the top of the Clan League and be the best on the server!Augment your fleet with a captain’s bounty of customization options: enhanced equipment modifications, camouflage, flags, and more. Recruit a Commander and use their inherent skills on your favorite ship to improve crew performance and ship survivability. World of Warships offers an incredible free-to-play action-strategy challenge. Think you can handle it? Download and play today!FeaturesOver 200 WWI and WWII vessels from the most powerful naval nations. Different types of ships: destroyers, cruisers, battleships, and aircraft carriers. 31 unique battle locations, from tropical waters to icy northern scenery. Variable weather: rain, snow, and fog can influence the course of battle. Unique battle type ""Scenarios"": save forts, escort support vessels, and rescue survivors. Free-to-Win with equal access to all gameplay features. Commanders to hire and train. They will suit your playstyle! Clan functionality: team up with friends! Outstanding graphics. Intuitive, customizable controls. Daily containers and combat missions: complete them all to receive your reward. "
Star Trek Online,Cryptic Studios ,Perfect World Entertainment ,"['Free to Play', 'Sci-fi', 'Massively Multiplayer', 'Space', 'RPG', 'MMORPG', 'Open World', 'Action', 'Multiplayer', 'Character Customization', 'Third Person', 'Adventure', 'PvP', 'Singleplayer', 'Co-op', 'PvE', 'Strategy', 'Online Co-Op', 'Tactical', 'Action RPG']", 
Yu-Gi-Oh! Duel Links,Konami Digital Entertainment ,Konami Digital Entertainment ,"['Free to Play', 'Card Game', 'Anime', 'Multiplayer', 'Strategy', 'Trading Card Game', 'Singleplayer', 'Casual', 'RPG', 'Action', 'Adventure', 'Open World', 'Great Soundtrack']","Take on Duelists around the world with ""Yu-Gi-Oh! Duel Links""!- Star-studded lineup includes: Yugi, Kaiba, Joey, Mai and more!- Voices from the anime heighten the Dueling experience!- Intuitive controls for beginners! The depth to satisfy ""Yu-Gi-Oh!"" veterans!- Signature monsters with stunning 3D animations!- Build your ultimate Deck and aim for the top!Step into a world that crosses dimensions and connects all Duelists. In Duel World, any location transforms into a Duel Field where heated Duels unfold!* Japanese text can only be selected if you started the game in Japan. Japanese voices are not available.[FEATURES]-DuelsThe ""Yu-Gi-Oh!"" TCG (Trading Card Game) can be played digitally with newly designed, intuitive controls optimized for your personal computer! Also, signature monsters like ""Dark Magician"" and ""Blue-Eyes White Dragon"" make their appearance with dynamic visuals!-Single Campaign (Duel World)Duel as your favorite characters from the ""Yu-Gi-Oh!"" world and complete Stage Missions to earn various rewards!New cards can be obtained from the Shop! -DuelistsChallenge Yugi, Kaiba, Joey, Mai and other Legendary Duelists! Complete specific Missions to unlock and these characters!Earn Skills and rewards by leveling up your favorite characters!-Online PvPWith ""Yu-Gi-Oh! Duel Links,"" engage in heated Duels anytime and anywhere against players around the world! Climb through the rankings and claim the title of King of Games!-DecksBuild your very own Deck with cards you collect in-game and take on opponents!Stay tuned for future card additions![ABOUT ""Yu-Gi-Oh!""]""Yu-Gi-Oh!"" is a popular manga created by Kazuki Takahashi that was serialized in SHUEISHA Inc.'s ""WEEKLY SHONEN JUMP"" from 1996. Konami Digital Entertainment Co., Ltd. provides a Trading Card Game (TCG) and video games, based on the ""Yu-Gi-Oh!"" anime series created from the original manga, that are enjoyed around the world."
Paladins®,Evil Mojo Games ,Hi-Rez Studios ,"['Free to Play', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Team-Based', 'First-Person', 'MOBA', 'PvP', 'Online Co-Op', 'Early Access', 'Fantasy', 'Strategy', 'Co-op', 'Massively Multiplayer', 'Funny', 'Adventure', 'Survival', 'Anime', 'Memes']","Join 25+ million players in Paladins, the free-to-play fantasy team-based shooter sensation. Wield guns and magic as a legendary Champion of the Realm, customizing your core set of abilities to play exactly how you want to play.Paladins is set in a vibrant fantasy world and features a diverse cast of Champions ranging from sharpshooting humans to mech-riding goblins, mystical elves, and jetpack-clad dragons. Each Champion brings a unique set of abilities to the battlefield and new Champions are regularly added to Paladins, keeping the game exciting. Paladins is completely Free-to-Play. Anything that affects gameplay can be unlocked simply by playing, with cosmetic items available for purchase. No matter what your playstyle is, you’ll find it in Paladins. With Paladins' deckbuilding system, you can become an iron sights sniper, a grenade-slinging explosives expert, or a track star with an assault rifle – all as the same Champion. Choose from dozens of cards to customize your abilities and make each Champion your own.Ancient Goddess. Interstellar bounty hunter. Cutthroat pirate. Frost giant. You can be all of these and more in Paladins. Choose from hundreds of skins already available in Paladins or find a new favorite in each update."
SMITE®,Titan Forge Games ,Hi-Rez Studios ,"['Free to Play', 'MOBA', 'Multiplayer', 'Action', 'Third Person', 'Mythology', 'Team-Based', 'Competitive', 'Strategy', 'Co-op', 'PvP', 'Massively Multiplayer', 'RPG', 'e-sports', 'MMORPG', 'Adventure', 'Funny', 'Survival', 'Nudity', 'Casual']","Enter the Battleground of the GodsJoin the millions of SMITE players competing in the free-to-play Battleground of the Gods! SMITE is the multiplayer online battle arena for players of every skill level.With a growing roster of more than 90 Gods, SMITE features recognizable icons from global mythology. Launch lightning bolts as Zeus, assassinate from the shadows as Loki, or charge into battle as the mighty Monkey King, Sun Wukong. SMITE has competition for everyone. Enter the Arena, the perfect game mode for players hungry for fast-paced battles. Looking for a more strategic experience? Conquest is SMITE’s premiere competitive mode. Crush the opposing Gods and slay their Titan for a triumphant victory.Test your divine skills against the best of the best SMITE players in Ranked. Climb the ladder from Bronze to Masters and claim your place at the top. Assemble a team and enter the world of SMITE esports. Power your way through and compete on the main stage to become a World Champion."
Brawlhalla,Blue Mammoth Games ,Ubisoft ,"['Free to Play', 'Multiplayer', 'Fighting', '2D', '2D Fighter', 'Action', 'Local Multiplayer', 'Platformer', 'Controller', 'Co-op', 'Local Co-Op', ""Beat 'em up"", 'Online Co-Op', '4 Player Local', 'Early Access', 'Indie', 'Singleplayer', 'Massively Multiplayer', 'Survival', 'Adventure']","Brawlhalla: An eternal battle arena where the greatest warriors in history brawl to prove who's the best that ever was, is, or will be. Every match is an epic test of skill, speed, and strength, and every victory brings additional glory and bragging rights to the winners.These slugfests are salted with powerful weapons and gadgets. Fighters scramble to grab swords, axes, hammers, blasters, rocket lances and more! Every weapon changes your play style and your options. Gadgets like mines, bombs, and spiked spheres add even more danger into the mix, letting fighters change the course of battle with a well timed-throw or carefully laid trap.Brawlhalla is a free to play, 2D platform fighting game featuring both online and local singleplayer and multiplayer.   Online Ranked 1v1 - A personal test of skill where you match up against a single opponent to claim untold levels of personal glory in Brawlhalla. Online Ranked 2v2 - Bolster your ranks with a friend to prove your mettle, wit, and teamwork in frenetic 2v2 battles. 4 Player Online Free for All - Ranked or casual matches where four fighters enter, but only one can win. 8 Player 4v4 & FFA - Because the only thing better than four legends vying for bragging rights is eight legends vying for bragging rights. Local Free for All - Up to 4 players can play in free for all mode on one computer - perfect for friendly face-offs. Local Custom Teams - Team-up on your local machine, with up to four players or bots for living-room level mayhem.Local Single Player Tournament - Square off against bots in a three game tournament series. Perfect for warmups or score grinders.Alternate Game Modes - Brawlball, Bombsketball and more provide ‘casual’ ‘party game’ ‘just for fun’ alternate game modes with completely different objectives and just as much competition. The Training Room - Practice combos and setups inside the Training Room! Look at frame data, hitboxes, hurtboxes, and sharpen your skills for use How we do Free to PlayBrawlhalla will always be 100% free to play, with no pay-to-win advantages and no in-game purchases to keep you from the action. Everything you can buy with real money is cosmetic (such as character skins, podiums, and KO effects) and none of them effect gameplay. The Legend Rotation of eight free to play characters changes every week, and you can earn gold to unlock more Legends by playing any online game mode. You can also check out our “All Legends Pack” that immediately unlocks every character we’ve ever made, and ever will make. Forever. Here's what you can expect from BrawlhallaWeekly patches and updates. Online, custom, ranked, and local play modes.Over 40 Legends to chose from and a free 8 character weekly rotation, unlockable with gold earned through playing the game. Loads of stages to fight on.Unique signature moves, weapon combinations and stats for each character.Ranked seasons every three months with seasonal rewards for playing ranked.  A constant stream of new features, balance tweaks and Legends to make the game better and better.Excited Devs active everywhere eagerly listening to what you think!Our eternal thanks (you're our favorite).Development RoadmapRecently AddedMajor Gameplay Improvements / Balance  New Legends DashingNetworking ImprovementsAdvancement SystemLarge Team Mode (4v4) Clan SupportSoon More WeaponsMore MapsMore LegendsOngoing Gameplay and Feature ImprovementsLater Full Player Profile and Statistics Novelty ItemsOfficial Crew Battle Support - Teams, clans, crews, guilds and bands of Brawlhallans can challenge one another in crew battles to claim which crew has the most powerful contenders. Even More MapsEven More LegendsOngoing Gameplay Improvements Expanded Clan SupportBut all of this will change based on what you tell us! We’re always listening to community feedback and value what players are telling us. Throughout Early Access the Brawlhalla community helped steer the direction of development multiple times to make Brawlhalla the best it can be. That will remain the same as we continue to improve, expand, and adjust Brawlhalla based on community feedback post-launch."
World of Tanks Blitz,Wargaming Group Limited ,Wargaming Group Limited ,"['Tanks', 'Free to Play', 'Multiplayer', 'Action', 'World War II', 'War', 'Massively Multiplayer', 'Strategy', 'Shooter', 'PvP', 'Simulation', 'Military', 'Online Co-Op', 'Competitive', 'Arcade', 'FPS', 'Singleplayer', 'Open World', 'First-Person', 'Psychological Horror']","World of Tanks Blitz is a cross-platform Free-to-Play team-based MMO action game dedicated to fierce tank combat. Throw yourself into intense battles against Steam players and challenge gamers on mobile, Mac, and Windows 10; control and upgrade over 200 legendary armored vehicles across 4 diverse classes; master your tactics on over a dozen maps; join up with your friends in a Platoon to reap in-game bonuses and rewards; and complete Battle Missions to truly test your skills.FeaturesOver 200 iconic vehicles from Germany, Japan, France, the UK, USA, USSR, and China4 different vehicles classes including light tanks, medium tanks, heavy tanks, and tank destroyersStrategic 7-vs-7 online multiplayer gameplay 18 unique battle arenasIn-game chat functionalityInnovative crew upgrade systemCross-platform gameplayConstant graphical enhancements and updates, as well as optimization for various platformsReal-life physics to create authentic tank movement and damage mechanicsDetailed tutorialsAbility to invite your friends to play online In-game achievementsFree-to-Play with equal access to in-game elements for paying and non-paying playersEasy to learn, intuitive controlsBattle Missions that open up fresh, personalized challenges of varying difficulties and enable players to earn bonuses and achievementsClan functionality allowing players to unite in their pursuit of victoryTraining Rooms that allow you to team up with friends to master game maps and tacticsTo learn how and what we use your personal data for, read our Privacy Policy: https://legal.eu.wargaming.net/en/privacy-policy/ "
Shadowverse CCG,"Cygames, Inc. ","Cygames, Inc., Cygames Korea Inc. ","['Free to Play', 'Card Game', 'Anime', 'Strategy', 'Trading Card Game', 'Fantasy', 'Multiplayer', 'Sexual Content', 'Turn-Based', 'Nudity', 'Competitive', 'Singleplayer', 'JRPG', 'Adventure', 'Casual', 'MMORPG']","""Four million battles every day. One Shadowverse. Japan's #1 strategic card game.Made by card gamers for card gamers. """"One of my favorite games this year"""" - IGNShadowverse is Japan's #1 strategic card game!- There are millions of Shadowverse battles every day, and a multitude of ways to play- Easy to get into, thanks to a singleplayer story mode, free card packs for new players, and bonuses every day - Battles are finely balanced, with less RNG than other card games, and balance adjustments take place every month- New card expansions are released every three months, unleashing new deck-building strategies and battle tactics- We’ve got a great community of 18 million players and counting, with tournaments and esports broadcasts every week and support for streamers - Featuring beautiful art and animations and fully voiced cards and story- A multitude of ways to play: With eight different leader classes, Shadowverse gives you unparalleled freedom to create your own deck strategies. Will you play as Urias and unleash your Vengeance when your health is depleted? Or will you select Isabelle, whose spells power up the cards in your hand? Will you go all in with an aggro deck, or try to contain the board with a control deck? Or will you try to sneak in some sublimely ingenious combos? It’s entirely up to you. - Easy to get into: Learn the basics by playing through our extensive singleplayer story mode before taking on other players in our multiplayer modes. Be sure to pick up your free card packs after you’ve finished playing through the tutorial – just go to your Crate from the main menu to pick them up. And bonuses and daily missions help you unlock new card packs every day so it won’t be long before you have a deck that is capable of competing with the very best. - Finely balanced: There’s less RNG in Shadowverse than other card games, making it supremely balanced: you’ll need to trust your judgement not your luck if you are to come out on top. And we make balance adjustments every month to make sure that no one card or deck type becomes too dominant.- New card expansions released regularly: New card expansions are added every three months to make sure the meta never gets stale. And every single expansion unleashes new deck-building strategies and battle tactics, and even new leader classes and game modes. We’re in this for the long haul and we hope you will be too.- Beautiful art:All of the cards in Shadowverse feature fantastic art by some of Japan’s finest artists, and every single card is available as an animated version. Every card is also fully-voiced, in English and Japanese, as is the singleplayer storyline. - A great community:And last but not least, we have some amazing fans. We’ve got memes, we’ve got streams, and we have much, much more to offer than the average card game. Community tournaments and e-sports broadcasts take place every week, and there are a ton of deck-building resources online in case you get stuck. Millions of card gamers can’t be wrong – why don’t you join them?"""
DCS World Steam Edition,Eagle Dynamics SA ,The Fighter Collection ,"['Simulation', 'Flight', 'Free to Play', 'Military', 'Multiplayer', 'Realistic', 'War', 'Open World', 'Action', 'Shooter', 'Singleplayer', 'TrackIR', 'Co-op', 'VR', 'Tanks', 'Sandbox', 'First-Person', 'FPS', 'Massively Multiplayer', 'Strategy']","Feel the excitement of flying the Su-25T ""Frogfoot"" attack jet and the TF-51D ""Mustang"" in the free-to-play Digital Combat Simulator World!The Open Beta version of Digital Combat Simulator World (DCS World) 2.5 is a free-to-play digital battlefield game and simulation environment. The “release” version will be available shortly after Open Beta testing is complete. The Open Beta is an optional version of DCS World that we use to first test new content and technologies before moving them to our release version.Our dream is to offer the most authentic and realistic simulation of military aircraft, tanks, ground vehicles and ships possible. This free download includes a vast mission area of the Caucasus region and Black Sea that encompasses much of Georgia. It also includes a flyable Russian Sukhoi Su-25T ground attack aircraft and the famous WWII North American TF-51D fighter. An additional 25 aircraft are available for purchase.The download comes with one of the most powerful mission editor ever designed, full network play and more than 156 AI weapons systems, 105 ground vehicles and trains, 50 air defense systems, 19 ships and 84 AI aircraft permitting you to plan and play highly sophisticated missions. DCS World is massively extensible through additional DCS modules as well as user-made add-ons and mods which you can purchase and download from our site.DCS is a true ""sandbox"" simulation that is also designed to cover multiple time periods of interest such as WWII, Korean War, Vietnam, Gulf War and others. Current regions to battle include the Caucasus, Nevada Test and Training Range, and Normandy 1944. New maps in development include the Persian, Syria, Afghanistan, and others.DCS World is fundamentally a deep, authentic and realistic simulation designed also to offer a more relaxed gameplay to suit the user and his particular level of experience and training. The ambition is to hand hold users from novice pilot all the way to the most advanced and sophisticated operator of such complex weapons systems as the A-10C Warthog or the F/A-18C Hornet. The only next step is the real thing!Key features of DCS World 2.5:The most realistic Free-to-Play digital battlefield ever.One-of-a-kind, internally developed graphics engine that looks amazing from 0 to 80,000 feet. Includes a beautiful, free, and highly detailed map of the Caucasus region that includes south western Russia and Georgia.Includes millions of buildings, millions of km of usable roads and railways, more than 50 million trees, and 20 fully-equipped operational airbases.Includes 156 free and fully operational weapons systems, 105 ground vehicles, 19 ships and 84 AI-controlled aircraft.Fly the TF-51 Mustang and Su-25T attack jet for free!Play all DCS World modules from one DCS World version.State-of-the-art graphics with amazing lighting, shadows, and performance.New breathtaking effects for explosions, clouds, fog, fire, and smoke. Hundreds of land, air and seaborne AI vehicles. The world is your sandbox.Create your own missions and campaigns for unlimited gameplay!Mission generator included allowing rapid mission creation.Enjoy multiplayer with friends, and even fly together in the same aircraft for multi-crew missions!Purchase and fly the most iconic airplanes and helicopters from WWII up to the modern day.Mouse interactive 6 degrees of freedom cockpits for most aircraft and the most accurate flight models, cockpit systems, sensors, targeting systems and sounds available.Purchase and fly the most authentic simulations of the A-10C Warthog, UH-1H Huey, F-86F Sabre, Spitfire, and many others now.Exciting new aircraft coming to DCS World like the F-14 Tomcat, F/A-18C Hornet, F-4E Phantom II, Mi-24P Hind, P-47D Thunderbolt, and many more!Purchase additional high-quality maps such as Normandy 1944, the Nevada Test and Training Range, and the Persian Gulf. Play hundreds of missions and campaigns with new campaigns continually created.Both hardcore realistic and casual gameplay modes and options available. "
Heroes & Generals,RETO MOTO ,RETO MOTO ,"['Free to Play', 'World War II', 'Multiplayer', 'FPS', 'War', 'Shooter', 'Action', 'First-Person', 'Massively Multiplayer', 'Tactical', 'Co-op', 'Strategy', 'Historical', 'Open World', 'Singleplayer', 'Simulation', 'Atmospheric', 'Adventure', 'Early Access', 'Indie']","Heroes & Generals is a full on, all-out WAR experience. Thousands of players fighting one massive clash of nations. The first to capture 15 cities takes the glory.Fight alongside newfound brothers from all over the world in multiple battles raging persistently as Generals strategize and deploy resources to assist their men.As a soldier everything you do influences the war. Every kill you make, every tank you destroy, every town you capture matters. Even glorious defeat, because sometimes to win the war, many must die.CHOOSE HOW YOU FIGHTHow you fight and the speed of progression is up to you.Experience the rush of close quarter combat, the pleasure of picking off the enemy at range, the power of unleashing hell from a tank or wreaking havoc from an aircraft. The choice is yours.MASTER YOUR OWN ARSENALYou own and master your equipment.Unleash the terror of the badass Panther Tank, the power of the Yak-9B fighter’s 20mm cannons, or the stealth of an M8 Greyhound. Load out with the deadly PPS-43, the legendary Tommy Gun or the rare but lethal FG-42.65+ Weapons, 70+ vehicles and aircraft are available to add to your arsenal. If that’s not enough, you can always use your wrench to humiliate the enemy!KEY FEATURESChoose your fight: as Infantry, Recon, Tank Crew, Paratrooper or even a Fighter Pilot.Fight in close-quarters, Infantry encounters; in larger skirmishes with vehicles or in huge land and aerial assaults. Win or lose, everything you do contributes to the war.Unlock a vast variety of weapons, vehicles, planes & ammo upgrades.Earn over 35 different Combat Badges to boost your ability and get the upper hand.Choose your allegiance; fight the war for the United States, Germany or the Soviet Union.Progress to become a General and gain ultimate power to strategize and deploy resources in battle. "
The Elder Scrolls®: Legends™,"Sparkypants Studios, LLC ",Bethesda Softworks ,"['Free to Play', 'Card Game', 'Multiplayer', 'Strategy', 'Trading Card Game', 'Singleplayer', 'Fantasy', 'Great Soundtrack', 'Board Game', 'Action', 'Atmospheric', 'Nudity']","PLAY ON YOUR OWNStory mode provides hours of solo gameplay in which you’ll earn new Legends cards, decks, and packs. Or draft a deck from scratch and battle a series of computer opponents. PLAY AGAINST OTHERSTest your decks against friends, challenge online opponents in ranked play, or draft a deck from scratch and battle other players who have done the same. PICK YOUR BATTLESLegends gameplay features a divided battlefield with “lanes” that deepen your strategy options. "
Tree of Savior (English Ver.),"IMCGAMES Co.,Ltd. ","IMCGAMES Co.,Ltd. ","['MMORPG', 'Massively Multiplayer', 'Free to Play', 'RPG', 'Anime', 'Fantasy', 'Adventure', 'Cute', 'Great Soundtrack', 'Action', 'JRPG', 'Multiplayer', 'Open World', 'Isometric', 'Nudity', 'Action RPG', 'Hack and Slash', 'Co-op', 'Memes', 'Dating Sim']","Tree of Savior (""TOS"") is an MMORPG in which you embark on a journey to search for the goddesses in a world in chaos. Fairy-tale like colors accompanied with beautiful graphics will have you savoring every precious moment experienced throughout your gameplay. Major Characteristics : Distinct Art Style Massive Freedom of Choice - develop your own playstyleTeam Battle League (PVP Content) - Joust your skills with others in the arena!Guild Wars (GvG Content) - No place is safe from enemy guild members, in the open field or even in instance dungeons!Style : Cute and charming looking characters and background Diverse costumes and expressionsScale : Numerous character classes, 8 ranks - Enough class and rank combinations to keep you tinkering for your exact buildHidden/advanced classes achieved only through special requirementsDiverse themes comprising a multitude of worlds and levelsAbundant field and dungeon contents and hidden questsMore than 200 unique boss monstersFreedom of Choice : Different jobs, skills, and stats giving possibility to a variety of combinations No fixed route, choose which path you wish to takeCommunity : The community can be accessed anytime no matter where you may beAutomatic Party Finding - Form parties with nearby players that will automatically disband when far apartRaids : Give low-level characters opportunities to join raids even at early stages of game play Servers use active matchmaking to call for automatic party findingStatistics : Information is accumulated and posted to show rankings for almost everything in-gameThe statistics provided allow players to see how other players are doing "
Trove,Trion Worlds ,Trion Worlds ,"['Free to Play', 'Open World', 'Multiplayer', 'Adventure', 'Massively Multiplayer', 'MMORPG', 'Building', 'Sandbox', 'Action', 'Pixel Graphics', 'RPG', 'Crafting', 'Third Person', 'Exploration', 'Co-op', 'Dungeon Crawler', 'Voxel', 'Funny', 'Casual', 'FPS']","Grab your friends, hone your blades, and set off for adventure in Trove, the ultimate action MMO! Battle the forces of Shadow in realms filled with incredible dungeons and items created by your fellow players. Whether hunting treasure in far-off lands or building realms of your own, it’s never been this good to be square!Cubular ClassesPlay as a Knight, Gunslinger, Ice Sage, Dracolyte, Pirate-with-a-parrot, or any (or all!) of the other Classes in Trove while mastering abilities from deadly ninja techniques to deliciously deadly ice cream crushes. Upgrade your gear to tackle epic challenges and strut your stuff with killer looks.Infinite RealmsExplore through fully destructible realms on the backs of fire-breathing dragons and purrfectly whiskered Meownts. Jump into action tailored to any level as you conquer untamed wilds from the Treasure Isles to Candoria, home of the sweet-toothed Candy Barbarians.Delve into DungeonsAssemble a group of hardy cube-kind and crawl your way through huge dungeons unique to each realm. Brave deadly minions, bosses, and traps to “liberate” powerful armor and weapons, or dip into smaller Lairs for single servings of danger perfect for solo fun.Get Rich with LootRake in a shimmering hoard of treasure and collectible items from the deepest and darkest places in Trove. Load up on special gear, costumes, decorations, recipes, crafting ingredients, flying carpets, sea-faring ships, and dragons of mighty renown. Build Your Home… Cornerstones are personal homes you can build block by block, but they’re also mobile bases! Drop your Cornerstone at specially-marked plots in any world you’re visiting, and voilà: your hand-crafted home-away-from-home will appear, giving you a place to kick back, relax, and craft to your heart’s content.Build a World…What’s better than crafting alone? Building entire new Club Worlds with friends. Feel like making enormous geodesic domes in the desert? Magnificent castles in the sky? Do it – and land yourself in our list of the cubic masterpieces in Trove!Build Anything in the Game!Dragons? Check. Bacon swords? Yup. Rainbow-grade 3D glasses of insufferable doom? Just the tip of the iceberg! Collect a HUGE range gear made by your fellow players and make and submit your own items – including Dungeons, Lairs, Class Costumes, and more.PlusMusic Blocks, Meownts, Fishing, Farming, Pets, Sailing (with Boats!), Flying (with Wings!), Mag Trains, Dance-Pads, Heroes, Villains, Allies (who might be Villains), Flasks, Bombs, Piñata Parties, and the Crafting of any and all Things. Did we mention it’s free to play?! "
Neverwinter,Cryptic Studios ,Perfect World Entertainment ,"['Free to Play', 'MMORPG', 'RPG', 'Massively Multiplayer', 'Adventure', 'Action', 'Multiplayer', 'Fantasy', 'Open World', 'Character Customization', 'Co-op', 'PvP', 'Dragons', 'Dungeons & Dragons', 'Third Person', 'Action RPG', 'PvE', 'Atmospheric', 'Hack and Slash', 'Zombies']", 
Realm Royale,Heroic Leap Games ,Hi-Rez Studios ,"['Early Access', 'Battle Royale', 'Free to Play', 'Multiplayer', 'Survival', 'Shooter', 'PvP', 'Early Access', 'Third-Person Shooter', 'Action', 'Third Person', 'Competitive', 'Team-Based', 'FPS', 'Fantasy', 'Massively Multiplayer', 'Co-op', 'Open World', 'Online Co-Op', 'Memes']","Explore a fantasy world in Realm Royale, the new Battle Royale sensation. Choose your class, loot fantastic weapons and magical abilities, and work with your squad to win. Stay ahead of the deadly fog by mounting up and moving out. Will you be the last Champion standing?Call your friends: It’s time to squad up. Help your team by dropping a Healing Totem, or fire a Flare into the sky to reveal incoming enemies. By working together as a team the crown royale could be yours.Discover powerful abilities scattered across the Realm. Soar through the skies slinging spells while your team deploys deadly turrets and shields. Flank the enemy with the stealthy Ghost Walk, leaving behind a proximity mine for them to discover when it’s too late. Customize your Champion each game with the abilities best suited for the battle at hand.Go traditional with shotguns and snipers, or embrace the fantasy with ice staffs, swords, and crossbows. If you want to win, you’ll need to use the Forges scattered across the Realm to craft powerful Runes, epic Gear, or bring back your fallen teammates. But be careful: While you’re crafting, your enemies may attack.Journey through the lush jungle of Jaguar’s Claws and the scorched sands of Goblin Gulch. Visit frigid Everfrost and iridescent Fungal Forest. The best part: you don’t have to walk around this massive Realm. Just summon your mount to outrun the fog and ride into your next glorious battle!"
PlanetSide 2,Daybreak Game Company ,Daybreak Game Company ,"['Free to Play', 'Massively Multiplayer', 'FPS', 'Shooter', 'Action', 'Open World', 'Multiplayer', 'Team-Based', 'Sci-fi', 'Tactical', 'War', 'First-Person', 'Futuristic', 'PvP', 'Co-op', 'Online Co-Op', 'Strategy', 'Space', 'Adventure', 'RPG']","PlanetSide 2 is a free-to-play, massively multiplayer online first person shooter (MMOFPS).  Empires and their soldiers battle in an all-out planetary war on a scale never before seen, in stunning, breathtaking detail. PlanetSide 2 battles persist and the war never ends, offering constant challenges of individual skill, team grit, and empire-wide coordination. Take up arms and drop into intense infantry, vehicle, and air combat. Players come together in enormous battles across four massive continents to win control of critical territories, gaining key resources for their empire. With an extensive skill tree and class-based system, players can customize their soldier, weapons, and vehicles to match their playstyle and meet the needs of their squads, outfits, and empires. In the world of PlanetSide 2, every soldier makes a difference.  THREE WARRING EMPIRES: Players will choose to align with one of three empires: the militaristic, authoritarian Terran Republic; the rebellious, freedom-fighting New Conglomerate; or the technocratic, alien-influenced Vanu Sovereignty. Each empire has access to empire-specific weapons, attachments, vehicles, abilities, and more. MASSIVE WARFARE: Battles take place not between dozens of soldiers, but between hundreds. They fight on foot. They pile into vehicles. They take to the skies in devastating aircraft. Each battleground holds valuable resources and strategic positions, and the empire that can conquer and hold these territories will be rewarded with the resources and the means to achieve victory.   ENORMOUS MAPS: PlanetSide 2 features four incredible and diverse continent maps with dozens of square kilometers of seamless gameplay space, every inch of which is hand-crafted and contestable. Whether in open fields, barren desert, in armed and armored bases, or in the skies, victory will rely on knowing your surroundings.  PERSISTENCE THAT PAYS: In PlanetSide 2 the war isn’t won by a single base capture. The core gameplay of PlanetSide 2 is about holding crucial territories and controlling resources. Working strategically as a team to secure tactical positions has long-lasting effects that can shift the tide of battle. CLASS-BASED COMBAT: Players can build their soldier to match wants and their allies' needs. Six distinct classes provide a wealth of squad options and combat tactics. Grow your soldier over time as you master each combat role, weapon, and vehicle, laterally unlocking hundreds of weapons, attachments, gear, skills, vehicles, and more.Heavy Assault: Rush into the battle guns blazing. You are the dedicated foot soldier of Auraxis.Light Assault: Go where the Heavies can’t with your short-burst jetpack. Pick a high spot, throw a grenade, and out maneuver your foes!Combat Medic: Keep your fellow soldiers alive and in fighting shape. You are the beating heart of any squad. Infiltrator: Stay silent. Stay invisible. You are death from the shadows, whether with a knife from behind or a single shot from a sniper's nest. You are the enemy's constant fear. Engineer:  Deploy crucial equipment. Resupply your allies. Fix the thing, then fix it again. You keep the machines running, the tanks firing, and the war effort moving forward. MAX: Step into your Mechanized Assault Exo-Suit (MAX). Cannons for hands, armor for flesh, and a disposition to match, you are a walking mass of nigh unstoppable death. OUTFIT TEAMWORK: Join or form your own Outfit, a like-minded group of soldiers who train together day in and day out. Whether a small rapid response team or a massive clan, Outfits are vital to each empire's strategic organization.  VEHICLES & WEAPONS: Train and equip your solider how you want, with a huge array of weapons and vehicles which can be extensively customized by preference or purpose, using attachments, upgrades, and add-ons earned in the war.   PLAY FOR FREE: PlanetSide 2 is free to play with optional in-game purchases.   "
VEGA Conflict,KIXEYE ,KIXEYE ,"['Free to Play', 'Space', 'Strategy', 'Massively Multiplayer', 'Sci-fi', 'Multiplayer', 'Open World', 'RTS', 'War', 'Action', 'Base Building', 'PvP', 'Singleplayer', 'Survival', 'Co-op', 'Adventure', 'Shooter', 'Sandbox', '2D']","Stake your claim, command your fleets, and wage epic war in space. Band together with other players in a bloody rebellion to take back the galaxy from the evil VEGA Federation.CUSTOMIZE YOUR WAR: Different targets call for different strategy, outfit your fleet for victory.REAL-TIME PvP: Real war doesn’t wait its turn - attack enemies at will in real-time.BATTLE ANYWHERE: Conflict never ends. Continue your progress on phone, tablet, or in browser."
